itemName,price,category,ingredients
Jaggery Sweetened Apple Oatmeal Recipe ,33,Course: World Breakfast,"['Apple', 'Instant Oats (Oatmeal)', 'Jaggery', 'Cinnamon Powder (Dalchini)', 'Ginger', 'Nutmeg powder', 'Vanilla Extract', 'Water', 'Milk', 'Hazelnut', 'Sultana Raisins', 'Sesame seeds (Til seeds)', 'Apple']"
Punjabi Mooli Ki Bhurji Recipe,85,Course: Side Dish,"['Mooli/ Mullangi (Radish)', 'Mooli Ke Patte (Radish Greens)', 'Mustard oil', 'Ajwain (Carom seeds)', 'Asafoetida (hing)', 'Ginger', 'Green Chillies', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Salt']"
Kathal Biryani Recipe |  Jackfruit Biryani Topped with Caramelised Onions,131,Course: Lunch,"['Seeraga (Jeeraga) Samba rice', 'Jackfruit Raw (Kathal)', 'Ghee', 'Onions', 'Ginger', 'Garlic', 'Green Chillies', 'Bay leaves (tej patta)', 'Cardamom (Elaichi) Pods/Seeds', 'Brown cardamom (Badi Elaichi)', 'Cloves (Laung)', 'Cinnamon Stick (Dalchini)', 'Star anise', 'Mace (Javitri)', 'Nutmeg powder', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Curd (Dahi / Yogurt)', 'Salt', 'Mint Leaves (Pudina)', 'Saffron strands', 'Oil', 'Onions', 'Ghee', 'Cashew nuts', 'Sultana Raisins', 'Mint Leaves (Pudina)']"
Sukhi Urad Dal Sabzi Recipe ,133,Course: Lunch,"['White Urad Dal (Whole)', 'Water', 'Onion', 'Ginger', 'Green Chilli', 'Cumin seeds (Jeera)', 'SSP Asafoetida (Hing)', 'Turmeric powder (Haldi)', 'Coriander Powder (Dhania)', 'Garam masala powder', 'Salt', 'Ghee', 'Lemon', 'Coriander (Dhania) Leaves']"
Togari Bele Tovve Recipe  - Toor Dal Rasam,65,Course: Lunch,"['Arhar dal (Split Toor Dal)', 'Water', 'Turmeric powder (Haldi)', 'Ginger', 'Green Chillies', 'Tamarind', 'Lemon juice', 'Ghee', 'Mustard seeds (Rai/ Kadugu)', 'Asafoetida (hing)', 'Curry leaves', 'Coriander (Dhania) Leaves']"
Muesli Ballyvaughan | Overnight Muesli Recipe,115,Course: World Breakfast,"['Muesli', 'Hung Curd (Greek Yogurt)', 'Honey', 'Apple juice', 'Corn flakes', 'Mixed nuts', 'Mixed fruits']"
Aloo Bhindi Recipe Flavored With Mustard And Poppy Seeds,84,Course: Lunch,"['Bhindi (Lady Finger/Okra)', 'Potatoes (Aloo)', 'Turmeric powder (Haldi)', 'Red Chilli powder', 'Salt', 'Mustard oil', 'Poppy seeds', 'Mustard seeds (Rai/ Kadugu)']"
Drumstick Dal Soup Recipe,58,Course: Dinner,"['Drumstick', 'Green Moong Dal (Whole)', 'Water', 'Onion', 'Tomato', 'Garlic', 'Turmeric powder (Haldi)', 'Cumin powder (Jeera)', 'Black pepper powder', 'Salt']"
Plain Dalia Recipe- How To Cook Broken Wheat In Pressure Cooker,114,Course: Lunch,"['Broken Wheat (Dalia/ Godumai Rava)', 'Water']"
Karwar NKGSB style Vataane Ananasaa Shaak Recipe- Pineapple & Whites Peas Sabzi ,91,Course: Main Course,"['Pineapple', 'Dried Yellow/White Peas (Vatana)', 'Onion', 'Turmeric powder (Haldi)', 'Jaggery', 'Salt', 'Oil', 'Mustard seeds (Rai/ Kadugu)', 'Asafoetida (hing)', 'Coriander (Dhania) Seeds', 'Dry Red Chillies', 'Oil', 'Fresh coconut']"
Raw Papaya Thoran Recipe,125,Course: Side Dish,"['Raw papaya', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)', 'Curry leaves', 'Asafoetida (hing)', 'Green Chilli', 'Fresh coconut', 'Salt', 'Oil']"
